Municipio;Microrregiao;Mesorregiao;Uf_nome;Uf;Regiao
Alta Floresta D'Oeste;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Ariquemes;Ariquemes;Leste Rondoniense;Rondônia;RO;Norte
Cabixi;Colorado do Oeste;Leste Rondoniense;Rondônia;RO;Norte
Cacoal;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Cerejeiras;Colorado do Oeste;Leste Rondoniense;Rondônia;RO;Norte
Colorado do Oeste;Colorado do Oeste;Leste Rondoniense;Rondônia;RO;Norte
Corumbiara;Colorado do Oeste;Leste Rondoniense;Rondônia;RO;Norte
Costa Marques;Guajará-Mirim;Madeira-Guaporé;Rondônia;RO;Norte
Espigão D'Oeste;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Guajará-Mirim;Guajará-Mirim;Madeira-Guaporé;Rondônia;RO;Norte
Jaru;Ji-Paraná;Leste Rondoniense;Rondônia;RO;Norte
Ji-Paraná;Ji-Paraná;Leste Rondoniense;Rondônia;RO;Norte
Machadinho D'Oeste;Ariquemes;Leste Rondoniense;Rondônia;RO;Norte
Nova Brasilândia D'Oeste;Alvorada D'Oeste;Leste Rondoniense;Rondônia;RO;Norte
Ouro Preto do Oeste;Ji-Paraná;Leste Rondoniense;Rondônia;RO;Norte
Pimenta Bueno;Vilhena;Leste Rondoniense;Rondônia;RO;Norte
Porto Velho;Porto Velho;Madeira-Guaporé;Rondônia;RO;Norte
Presidente Médici;Ji-Paraná;Leste Rondoniense;Rondônia;RO;Norte
Rio Crespo;Ariquemes;Leste Rondoniense;Rondônia;RO;Norte
Rolim de Moura;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Santa Luzia D'Oeste;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Vilhena;Vilhena;Leste Rondoniense;Rondônia;RO;Norte
São Miguel do Guaporé;Alvorada D'Oeste;Leste Rondoniense;Rondônia;RO;Norte
Nova Mamoré;Porto Velho;Madeira-Guaporé;Rondônia;RO;Norte
Alvorada D'Oeste;Alvorada D'Oeste;Leste Rondoniense;Rondônia;RO;Norte
Alto Alegre dos Parecis;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Alto Paraíso;Ariquemes;Leste Rondoniense;Rondônia;RO;Norte
Buritis;Porto Velho;Madeira-Guaporé;Rondônia;RO;Norte
Novo Horizonte do Oeste;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Cacaulândia;Ariquemes;Leste Rondoniense;Rondônia;RO;Norte
Campo Novo de Rondônia;Porto Velho;Madeira-Guaporé;Rondônia;RO;Norte
Candeias do Jamari;Porto Velho;Madeira-Guaporé;Rondônia;RO;Norte
Castanheiras;Cacoal;Leste Rondoniense;Rondônia;RO;Norte
Chupinguaia;Vilhena;Leste Rondoniense;Rondônia;RO;Norte
Cujubim;Porto Velho;Madeira-Guaporé;Rondônia;RO;Norte
